,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,Año,Terrorismo,Delitos Sexuales,Homicidios,Amenazas,Extorsion,Secuestro,Poblacion,Total,Indice100k
380,ANTIOQUIA,CONCEPCIÓN,5206,2018,,1.0,,1.0,,,4797,2,41.692724619553886
381,ANTIOQUIA,CONCEPCIÓN,5206,2019,,4.0,,3.0,,,4760,7,147.05882352941177
382,ANTIOQUIA,CONCEPCIÓN,5206,2020,,6.0,2.0,4.0,2.0,,4758,14,294.24127784783525
383,ANTIOQUIA,CONCEPCIÓN,5206,2021,,2.0,,,2.0,,4832,4,82.78145695364239
384,ANTIOQUIA,CONCORDIA,5209,2012,,,9.0,,1.0,,21260,10,47.03668861712136
385,ANTIOQUIA,CONCORDIA,5209,2013,,,9.0,,12.0,,21270,21,98.73060648801129
386,ANTIOQUIA,CONCORDIA,5209,2014,,3.0,12.0,6.0,1.0,,21184,22,103.85196374622356
387,ANTIOQUIA,CONCORDIA,5209,2015,,11.0,7.0,,,,21129,18,85.19096975720574
388,ANTIOQUIA,CONCORDIA,5209,2016,,9.0,13.0,25.0,,,21153,47,222.19070581005056
389,ANTIOQUIA,CONCORDIA,5209,2017,,20.0,6.0,17.0,7.0,,21275,50,235.01762632197415
390,ANTIOQUIA,CONCORDIA,5209,2018,,17.0,4.0,29.0,1.0,,21377,51,238.57416849885394
391,ANTIOQUIA,CONCORDIA,5209,2019,,24.0,13.0,17.0,3.0,,21504,57,265.0669642857143
392,ANTIOQUIA,CONCORDIA,5209,2020,,17.0,14.0,23.0,2.0,,21688,56,258.20730357801546
393,ANTIOQUIA,CONCORDIA,5209,2021,,17.0,17.0,6.0,4.0,,22024,44,199.78205593897567
394,ANTIOQUIA,COPACABANA,5212,2012,,4.0,27.0,1.0,5.0,,70742,37,52.302733878035674
395,ANTIOQUIA,COPACABANA,5212,2013,,4.0,25.0,,7.0,,71772,36,50.158836314997494
396,ANTIOQUIA,COPACABANA,5212,2014,,8.0,33.0,34.0,4.0,,72801,79,108.51499292592135
397,ANTIOQUIA,COPACABANA,5212,2015,,56.0,23.0,33.0,9.0,1.0,73796,122,165.32061358339203
398,ANTIOQUIA,COPACABANA,5212,2016,,60.0,21.0,30.0,7.0,2.0,74957,120,160.09178595728216
399,ANTIOQUIA,COPACABANA,5212,2017,,46.0,17.0,7.0,11.0,,76210,81,106.28526440099725
400,ANTIOQUIA,COPACABANA,5212,2018,,62.0,19.0,35.0,16.0,,77884,132,169.48282060500233
401,ANTIOQUIA,COPACABANA,5212,2019,,58.0,21.0,16.0,5.0,,80000,100,125.0
402,ANTIOQUIA,COPACABANA,5212,2020,,37.0,19.0,33.0,15.0,,81820,104,127.10828648252262
403,ANTIOQUIA,COPACABANA,5212,2021,,42.0,27.0,32.0,13.0,,83106,114,137.1742112482853
404,ANTIOQUIA,DABEIBA,5234,2012,1.0,2.0,7.0,14.0,,,22527,24,106.53882008256758
405,ANTIOQUIA,DABEIBA,5234,2013,2.0,9.0,9.0,7.0,,,22542,27,119.77641735427201
406,ANTIOQUIA,DABEIBA,5234,2014,1.0,6.0,3.0,14.0,,,22570,24,106.33584404076207
407,ANTIOQUIA,DABEIBA,5234,2015,,9.0,8.0,2.0,,,22593,19,84.09684415526932
408,ANTIOQUIA,DABEIBA,5234,2016,,16.0,6.0,6.0,,,22673,28,123.4949058351343
409,ANTIOQUIA,DABEIBA,5234,2017,,10.0,11.0,18.0,1.0,,22836,40,175.16202487300754
410,ANTIOQUIA,DABEIBA,5234,2018,,22.0,8.0,34.0,1.0,,23044,65,282.069085228259
411,ANTIOQUIA,DABEIBA,5234,2019,,21.0,12.0,5.0,1.0,,23255,39,167.7058697054397
412,ANTIOQUIA,DABEIBA,5234,2020,1.0,23.0,16.0,9.0,1.0,,23509,50,212.68450380705264
413,ANTIOQUIA,DABEIBA,5234,2021,,25.0,21.0,17.0,1.0,,23874,64,268.07405545782024
414,ANTIOQUIA,DON MATÍAS,5237,2012,,,10.0,,2.0,,17479,12,68.65381314720523
415,ANTIOQUIA,DON MATÍAS,5237,2013,,1.0,5.0,,4.0,,17656,10,56.637970095151786
416,ANTIOQUIA,DON MATÍAS,5237,2014,,8.0,3.0,7.0,1.0,,17916,19,106.05045769144898
417,ANTIOQUIA,DON MATÍAS,5237,2015,1.0,4.0,4.0,8.0,,,18084,17,94.00575094005751
418,ANTIOQUIA,DON MATÍAS,5237,2016,,14.0,10.0,14.0,6.0,,18332,44,240.01745581496837
419,ANTIOQUIA,DON MATÍAS,5237,2017,,13.0,3.0,7.0,2.0,,18533,25,134.89451249123186
420,ANTIOQUIA,DON MATÍAS,5237,2018,,11.0,7.0,16.0,2.0,,18902,36,190.45603639826473
421,ANTIOQUIA,DON MATÍAS,5237,2019,,12.0,7.0,15.0,5.0,,19332,39,201.73805090006206
422,ANTIOQUIA,DON MATÍAS,5237,2020,,10.0,2.0,16.0,6.0,,19709,34,172.51002080267898
423,ANTIOQUIA,DON MATÍAS,5237,2021,,14.0,10.0,13.0,6.0,,20018,43,214.80667399340595
424,ANTIOQUIA,EBÉJICO,5240,2012,,,4.0,,,,12716,4,31.456432840515884
425,ANTIOQUIA,EBÉJICO,5240,2013,,1.0,3.0,,2.0,,12617,6,47.554886264563685
426,ANTIOQUIA,EBÉJICO,5240,2014,,,8.0,18.0,,,12461,26,208.65099109220768
427,ANTIOQUIA,EBÉJICO,5240,2015,,4.0,2.0,13.0,3.0,,12308,22,178.74553136171596
428,ANTIOQUIA,EBÉJICO,5240,2016,,6.0,6.0,23.0,3.0,,12227,38,310.7876012104359
429,ANTIOQUIA,EBÉJICO,5240,2017,,6.0,8.0,18.0,,,12177,32,262.7905066929457
430,ANTIOQUIA,EBÉJICO,5240,2018,,6.0,2.0,33.0,1.0,,12158,42,345.45155453199544
431,ANTIOQUIA,EBÉJICO,5240,2019,,10.0,6.0,3.0,2.0,,12108,21,173.4390485629336
432,ANTIOQUIA,EBÉJICO,5240,2020,,4.0,6.0,7.0,1.0,,12134,18,148.34349761002142
433,ANTIOQUIA,EBÉJICO,5240,2021,,5.0,4.0,5.0,1.0,,12322,15,121.73348482389223
434,ANTIOQUIA,EL BAGRE,5250,2012,1.0,,21.0,,,,45783,22,48.05277067907302
435,ANTIOQUIA,EL BAGRE,5250,2013,3.0,1.0,39.0,,13.0,1.0,46678,57,122.11320107973778
436,ANTIOQUIA,EL BAGRE,5250,2014,,7.0,49.0,12.0,,,47561,68,142.97428565421248
437,ANTIOQUIA,EL BAGRE,5250,2015,3.0,15.0,44.0,17.0,3.0,,48493,82,169.0965706390613
438,ANTIOQUIA,EL BAGRE,5250,2016,1.0,26.0,38.0,24.0,2.0,,49488,91,183.88296152602652
439,ANTIOQUIA,EL BAGRE,5250,2017,,36.0,11.0,17.0,3.0,,50544,67,132.55777144666033
440,ANTIOQUIA,EL BAGRE,5250,2018,3.0,26.0,46.0,36.0,7.0,,51862,118,227.52689830704563
441,ANTIOQUIA,EL BAGRE,5250,2019,,21.0,39.0,19.0,7.0,,52925,86,162.4940954180444
442,ANTIOQUIA,EL BAGRE,5250,2020,2.0,11.0,51.0,15.0,4.0,,53846,83,154.14329755227874
443,ANTIOQUIA,EL BAGRE,5250,2021,2.0,18.0,35.0,14.0,2.0,,54681,71,129.84400431594156
444,ANTIOQUIA,ENTRERRIOS,5264,2012,,,2.0,,,,10095,2,19.811788013868252
445,ANTIOQUIA,ENTRERRIOS,5264,2013,,,1.0,,,,10276,1,9.73141300116777
446,ANTIOQUIA,ENTRERRIOS,5264,2014,,,8.0,2.0,1.0,,10465,11,105.11227902532251
447,ANTIOQUIA,ENTRERRIOS,5264,2015,,4.0,4.0,2.0,1.0,,10594,11,103.83235793845573
448,ANTIOQUIA,ENTRERRIOS,5264,2016,1.0,3.0,8.0,2.0,,,10830,14,129.27054478301017
449,ANTIOQUIA,ENTRERRIOS,5264,2017,,3.0,6.0,1.0,1.0,,10986,11,100.1274349171673
450,ANTIOQUIA,ENTRERRIOS,5264,2018,,3.0,1.0,8.0,,,11159,12,107.53651760910476
451,ANTIOQUIA,ENTRERRIOS,5264,2019,,1.0,4.0,2.0,3.0,,11465,10,87.22197993894461
452,ANTIOQUIA,ENTRERRIOS,5264,2020,,3.0,,1.0,,,11728,4,34.106412005457024
453,ANTIOQUIA,ENTRERRIOS,5264,2021,,2.0,3.0,,4.0,,11912,9,75.55406312961719
454,ANTIOQUIA,ENVIGADO,5266,2012,,7.0,40.0,,4.0,,202750,51,25.154130702836007
455,ANTIOQUIA,ENVIGADO,5266,2013,1.0,6.0,28.0,,24.0,,206658,59,28.549584337407698
456,ANTIOQUIA,ENVIGADO,5266,2014,,11.0,24.0,92.0,6.0,,210592,133,63.15529554778909
457,ANTIOQUIA,ENVIGADO,5266,2015,,44.0,12.0,86.0,11.0,1.0,214539,154,71.78182055477092
458,ANTIOQUIA,ENVIGADO,5266,2016,,60.0,18.0,29.0,9.0,,218805,116,53.01524188204108
459,ANTIOQUIA,ENVIGADO,5266,2017,,61.0,10.0,58.0,17.0,2.0,223456,148,66.23227839037662
460,ANTIOQUIA,ENVIGADO,5266,2018,,66.0,17.0,73.0,23.0,,228848,179,78.21785639376354
461,ANTIOQUIA,ENVIGADO,5266,2019,,79.0,10.0,31.0,28.0,1.0,236114,149,63.10511024335702
462,ANTIOQUIA,ENVIGADO,5266,2020,,78.0,7.0,33.0,34.0,,242197,152,62.75882855691854
463,ANTIOQUIA,ENVIGADO,5266,2021,,77.0,3.0,39.0,31.0,,246003,150,60.97486616016877
464,ANTIOQUIA,FREDONIA,5282,2012,,,8.0,,,,24178,8,33.08793117710315
465,ANTIOQUIA,FREDONIA,5282,2013,,,14.0,,2.0,,24178,16,66.1758623542063
466,ANTIOQUIA,FREDONIA,5282,2014,,3.0,9.0,12.0,,,24113,24,99.53137311823498
467,ANTIOQUIA,FREDONIA,5282,2015,,8.0,14.0,2.0,2.0,,24059,26,108.06766698532773
468,ANTIOQUIA,FREDONIA,5282,2016,,10.0,17.0,13.0,2.0,,24143,42,173.96346767178892
469,ANTIOQUIA,FREDONIA,5282,2017,1.0,16.0,14.0,4.0,4.0,,24252,39,160.8114794656111
470,ANTIOQUIA,FREDONIA,5282,2018,,15.0,19.0,34.0,2.0,,24408,70,286.7912159947558
471,ANTIOQUIA,FREDONIA,5282,2019,,16.0,6.0,4.0,,,24553,26,105.89337351851098
472,ANTIOQUIA,FREDONIA,5282,2020,,6.0,15.0,11.0,7.0,,24754,39,157.55029490183404
473,ANTIOQUIA,FREDONIA,5282,2021,1.0,8.0,9.0,11.0,3.0,,25138,32,127.29731880022277
474,ANTIOQUIA,FRONTINO,5284,2012,,2.0,11.0,,1.0,,21566,14,64.91699897987573
475,ANTIOQUIA,FRONTINO,5284,2013,,,6.0,,2.0,1.0,21390,9,42.0757363253857
476,ANTIOQUIA,FRONTINO,5284,2014,,4.0,7.0,10.0,,,21147,21,99.30486593843098
477,ANTIOQUIA,FRONTINO,5284,2015,,14.0,6.0,2.0,1.0,,20944,23,109.816653934301
478,ANTIOQUIA,FRONTINO,5284,2016,,19.0,4.0,10.0,3.0,,20813,36,172.96881756594436
